Breed	 AverageDailyGain	 Backfat	 MuscleThikness	 FrontLegs	 BackLegs
Landrace	 0.66	 13.2	 59.4	 4	 3
Landrace	 0.71	 14.5	 55.1	 4	 3
Landrace	 0.85	 18.5	 51.5	 3	 3
Landrace	 0.84	 16.2	 57.4	 3	 2
Landrace	 0.62	 11.6	 47.5	 4	 3
Landrace	 0.62	 10.6	 53.8	 4	 3
Landrace	 0.58	 12.5	 51.1	 4	 3
Landrace	 0.68	 14.2	 56.1	 3	 2
Landrace	 0.73	 17.8	 59.4	 3	 4
Landrace	 0.64	 9.2	 54.4	 4	 4
Landrace	 0.8	 19.1	 58.4	 4	 4
Landrace	 0.67	 12.5	 59.1	 2	 2
Landrace	 0.81	 17.2	 56.1	 3	 3
Landrace	 0.79	 20.8	 63.7	 4	 3
Landrace	 0.67	 12.2	 52.8	 3	 3
Landrace	 0.8	 19.1	 61.7	 4	 3
Landrace	 0.82	 18.8	 58.4	 3	 3
Landrace	 0.75	 17.8	 57.1	 4	 4
Landrace	 0.79	 22.8	 64.3	 4	 3
Landrace	 0.7	 14.9	 64.3	 4	 4
Landrace	 0.69	 14.2	 53.8	 3	 3
Landrace	 0.73	 13.5	 51.5	 4	 3
Landrace	 0.78	 16.8	 58.1	 4	 3
Landrace	 0.74	 16.5	 59.1	 3	 3
Landrace	 0.76	 22.8	 62.7	 3	 3
Landrace	 0.77	 20.8	 62	 4	 4
Landrace	 0.77	 13.9	 57.7	 4	 3
Landrace	 0.77	 19.1	 65.7	 4	 3
Landrace	 0.76	 13.9	 53.1	 2	 2
Landrace	 0.76	 13.9	 63.7	 3	 3
Landrace	 0.85	 16.8	 58.7	 4	 3
Landrace	 0.81	 14.2	 62	 2	 2
Landrace	 0.78	 19.8	 63.4	 4	 4
Landrace	 0.87	 22.1	 65.7	 3	 3
Landrace	 0.97	 19.3	 61.5	 2	 2
Landrace	 0.81	 20.8	 62.7	 4	 3
Landrace	 0.82	 13.9	 59.7	 4	 3
Landrace	 0.73	 12.5	 58.4	 4	 3
Landrace	 0.72	 18.2	 57.4	 4	 4
Landrace	 0.77	 16.8	 63.4	 2	 2
Landrace	 0.82	 17.2	 60.4	 4	 3
Landrace	 0.7	 15.2	 58.4	 4	 4
Landrace	 0.84	 20.8	 70	 3	 3
Landrace	 0.78	 20.5	 62.4	 4	 3
Landrace	 0.82	 16.2	 61.4	 4	 4
Landrace	 0.84	 14.5	 65	 4	 4
Landrace	 0.76	 18.8	 64.7	 4	 3
Landrace	 0.64	 13.9	 55.8	 4	 3
Landrace	 0.75	 15.2	 52.5	 4	 3
Landrace	 0.78	 13.2	 53.8	 2	 3
Landrace	 0.7	 16.2	 57.7	 4	 4
Landrace	 0.73	 18.5	 64.3	 2	 3
Landrace	 0.66	 16.5	 59.1	 4	 3
Landrace	 0.88	 13.5	 58.4	 3	 3
Landrace	 0.79	 11.9	 53.8	 4	 3
Landrace	 0.72	 14.2	 57.4	 3	 3
Landrace	 0.7	 10.6	 53.1	 4	 4
Landrace	 0.71	 11.6	 62	 3	 3
Landrace	 0.63	 8.9	 54.1	 4	 3
Landrace	 0.85	 17.8	 57.1	 2	 2
Landrace	 0.79	 19.1	 58.4	 4	 4
Landrace	 0.72	 11.2	 50.5	 4	 4
Landrace	 0.8	 16.5	 55.1	 4	 4
Landrace	 0.9	 16.8	 47.8	 2	 2
Landrace	 0.82	 16.2	 59.4	 3	 3
Landrace	 0.64	 8.9	 56.8	 4	 4
Landrace	 0.72	 17.5	 59.4	 3	 3
Landrace	 0.81	 11.9	 63.4	 4	 4
Landrace	 0.85	 18.5	 59.1	 3	 3
Landrace	 0.78	 13.9	 63.7	 4	 4
Landrace	 0.67	 12.9	 58.4	 4	 4
Landrace	 0.72	 16.5	 52.8	 4	 4
Landrace	 0.86	 15.2	 55.8	 3	 4
Landrace	 0.86	 12.5	 61.4	 4	 3
Landrace	 0.54	 10.2	 43.6	 3	 2
Landrace	 0.85	 17.5	 66	 3	 4
Landrace	 0.68	 13.9	 56.8	 4	 3
Landrace	 0.86	 11.9	 72.6	 4	 4
Landrace	 0.75	 15.5	 59.4	 3	 4
Landrace	 0.82	 5.3	 62.7	 3	 3
Landrace	 0.62	 11.6	 57.1	 4	 4
Landrace	 0.81	 11.9	 63.4	 3	 3
